,name_product,price_product,link_product
0,Juguete De Actividades Fisher Price Robi Rueda Conmigo,389.925,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=LIlnGXSSXxbF8N2qOPkAEM3A8pl6%2FeCjY1X%2Bo4K0Ez7PewOMZ%2F%2B5VFgspczmJItBRszvuk8%2Bh1KDekH07rkwGzJRed%2FvKV9kRGYZKcuKY8FReUpyx0gCLYNGzDFs%2BAds%2Bw2yF6cZBP0DECCzRSmoIt8x1YWn55ZhdG%2Fri2awRpogh0ZsaEw5spWVwfnzZ9lKBvhiDCi96uWBtv9XwVvLucjcrVaxv1b6J4kxzjgXjjFXSzFmKy9EcyYGWD1w5fzkp6Xe0fNbi8puO1LHhsxTpgFfFOdOcBxqqrgQzJoMe9nzRgkQmja4e7rhmW%2F5QR%2FK0baAgFpHyi%2BhF7mhSYsz3c1XVqKaK6mto1Lh4X0nrbuCzZCnxu5ECJRTfduwsyAjAJdj1bjO%2FQmxwLNK39rfsfrbmGYQwerLDi7frkfcsPCTrBKZ6YPDozRerIXxD63SaJmnkplUTau6gDt067fC185idOQRc1KvRk%2FhdKlK9cmPlsqE2gFEWHHrDXGtLhH06KSBK1dYDESJtjgwPN3lySafPEI%2BHdapiH22dpxzTqDBROgs9%2F26FRcUdTqTAXDttEnCLQyZaMHgc7dQ5%2B%2FPrEDq96bG4As%2BJuehOhrk%2FEvg8thy3ZUPmarTJFw7KWlD9mrxKYUYL%2BNNgfsntLpOQvfyMvT6KMHIUGsOwGM0VB6CfgIW76pyB3fK53HAz%2BxzzCXuSxFInB4YbE2bkO0uDLAMLRw9VXLh8rwgD2HEm%2FGu5gLWRh%2BSTnH3ULVEDlTj6yJternN2jDGS9WkBikRVg%3D%3D&rb=x
1,Hermosas Cachorras De Pastor Belga Malenois,1.100.000,https://articulo.mercadolibre.com.co/MCO-642451088-hermosas-cachorras-de-pastor-belga-malenois-_JM?searchVariation=173537715771#searchVariation=173537715771&position=2&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
2,Venta De Perros De Pomerania En Medellin,2.600.000,https://articulo.mercadolibre.com.co/MCO-871545012-venta-de-perros-de-pomerania-en-medellin-_JM?searchVariation=174314971441#searchVariation=174314971441&position=3&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
3,Perros Cachorros Shitzu Disponible Para Entregar,1.000.000,https://articulo.mercadolibre.com.co/MCO-613545758-perros-cachorros-shitzu-disponible-para-entregar-_JM?searchVariation=79846890610#searchVariation=79846890610&position=4&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
4,Hermosos Cachorros De Raza Husky Siberiano,1.000.000,https://articulo.mercadolibre.com.co/MCO-839907611-hermosos-cachorros-de-raza-husky-siberiano-_JM?searchVariation=173985757448#searchVariation=173985757448&position=5&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
5,Cacharros Shitzu Mini Macho Disponible Servicio De Envío,1.250.000,https://articulo.mercadolibre.com.co/MCO-614460513-cacharros-shitzu-mini-macho-disponible-servicio-de-envio-_JM?searchVariation=80425307910#searchVariation=80425307910&position=6&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
6,Espectaculares Cachorros Rotweilwer Mascotas Rionegro,1.300.000,https://articulo.mercadolibre.com.co/MCO-850978191-espectaculares-cachorros-rotweilwer-mascotas-rionegro-_JM?searchVariation=174306946097#searchVariation=174306946097&position=7&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
7,Pastor Aleman Cachorro Mascotas Rionegro Medellín Bogota,980.000,https://articulo.mercadolibre.com.co/MCO-873274430-pastor-aleman-cachorro-mascotas-rionegro-medellin-bogota-_JM?searchVariation=174329664932#searchVariation=174329664932&position=8&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
8,Perros Cachorros Bernes De La Montaña Boyero Suizo Vernes,6.360.000,https://articulo.mercadolibre.com.co/MCO-849173048-perros-cachorros-bernes-de-la-montana-boyero-suizo-vernes-_JM?searchVariation=174089047889#searchVariation=174089047889&position=9&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
9,Cachorro Bulldogs Ingles Bull Dog Ingles Perrito Cachorrito,9.600.000,https://articulo.mercadolibre.com.co/MCO-851419297-cachorro-bulldogs-ingles-bull-dog-ingles-perrito-cachorrito-_JM?searchVariation=174112647577#searchVariation=174112647577&position=10&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
